group,legacy_entity,role_id,initial_cost,required_alignment,task,pledge_exclusive,mount,mount_name,mount_armor,status
SOTHORYOS,GOTEntitySothoryosBlowgunner,sothoryos_blowgunner,15,60.0,WARRIOR,False,,,,ACTIVE_1_0
SOTHORYOS,GOTEntitySothoryosBannerBearer,sothoryos_banner_bearer,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
YI_TI,GOTEntityYiTiLevyman,yi_ti_levyman,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
YI_TI,GOTEntityYiTiLevymanCrossbower,yi_ti_levyman_crossbower,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
YI_TI,GOTEntityYiTiSoldier,yi_ti_soldier,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
YI_TI,GOTEntityYiTiSoldierCrossbower,yi_ti_soldier_crossbower,15,60.0,WARRIOR,False,,,,ACTIVE_1_0
YI_TI,GOTEntityYiTiSamurai,yi_ti_samurai,20,70.0,WARRIOR,True,,,,ACTIVE_1_0
YI_TI,GOTEntityYiTiSamuraiFlamethrower,yi_ti_samurai_flamethrower,30,70.0,WARRIOR,True,,,,ACTIVE_1_0
YI_TI,GOTEntityYiTiBombardier,yi_ti_bombardier,50,100.0,WARRIOR,True,,,,ACTIVE_1_0
YI_TI,GOTEntityYiTiBannerBearer,yi_ti_banner_bearer,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
YI_TI,GOTEntityYiTiSoldier,yi_ti_soldier,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
YI_TI,GOTEntityYiTiBannerBearer,yi_ti_banner_bearer,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
GOLDEN_COMPANY,GOTEntityGoldenCompanyWarrior,golden_company_warrior,10,0.0,WARRIOR,False,,,,ACTIVE_1_0
GOLDEN_COMPANY,GOTEntityGoldenCompanySpearman,golden_company_spearman,10,0.0,WARRIOR,False,,,,ACTIVE_1_0
GOLDEN_COMPANY,GOTEntityGoldenCompanyBannerBearer,golden_company_banner_bearer,10,0.0,WARRIOR,False,,,,ACTIVE_1_0
ARRYN_FARMER,GOTEntityArrynFarmhand,arryn_farmhand,10,0.0,FARMER,False,,,,ACTIVE_1_0
CROWNLANDS_FARMER,GOTEntityCrownlandsFarmhand,crownlands_farmhand,10,0.0,FARMER,False,,,,ACTIVE_1_0
DORNE_FARMER,GOTEntityDorneFarmhand,dorne_farmhand,10,0.0,FARMER,False,,,,ACTIVE_1_0
DRAGONSTONE_FARMER,GOTEntityDragonstoneFarmhand,dragonstone_farmhand,10,0.0,FARMER,False,,,,ACTIVE_1_0
IBBEN_FARMER,GOTEntityIbbenFarmhand,ibben_farmhand,10,0.0,FARMER,False,,,,ACTIVE_1_0
IRONBORN_FARMER,GOTEntityIronbornFarmhand,ironborn_farmhand,10,0.0,FARMER,False,,,,ACTIVE_1_0
NORTH_FARMER,GOTEntityNorthFarmhand,north_farmhand,10,0.0,FARMER,False,,,,ACTIVE_1_0
REACH_FARMER,GOTEntityReachFarmhand,reach_farmhand,10,0.0,FARMER,False,,,,ACTIVE_1_0
RIVERLANDS_FARMER,GOTEntityRiverlandsFarmhand,riverlands_farmhand,10,0.0,FARMER,False,,,,ACTIVE_1_0
SOTHORYOS_FARMER,GOTEntitySothoryosFarmhand,sothoryos_farmhand,10,0.0,FARMER,False,,,,ACTIVE_1_0
STORMLANDS_FARMER,GOTEntityStormlandsFarmhand,stormlands_farmhand,10,0.0,FARMER,False,,,,ACTIVE_1_0
SUMMER_FARMER,GOTEntitySummerFarmhand,summer_farmhand,10,0.0,FARMER,False,,,,ACTIVE_1_0
WESTERLANDS_FARMER,GOTEntityWesterlandsFarmhand,westerlands_farmhand,10,0.0,FARMER,False,,,,ACTIVE_1_0
LORATH_FARMER,GOTEntityLorathFarmhand,lorath_farmhand,10,0.0,FARMER,False,,,,ACTIVE_1_0
BRAAVOS_FARMER,GOTEntityBraavosFarmhand,braavos_farmhand,10,0.0,FARMER,False,,,,ACTIVE_1_0
NORVOS_FARMER,GOTEntityNorvosFarmhand,norvos_farmhand,10,0.0,FARMER,False,,,,ACTIVE_1_0
PENTOS_FARMER,GOTEntityPentosFarmhand,pentos_farmhand,10,0.0,FARMER,False,,,,ACTIVE_1_0
QOHOR_FARMER,GOTEntityQohorFarmhand,qohor_farmhand,10,0.0,FARMER,False,,,,ACTIVE_1_0
QARTH_FARMER,GOTEntityQarthFarmhand,qarth_farmhand,10,0.0,FARMER,False,,,,ACTIVE_1_0
YI_TI_FARMER,GOTEntityYiTiFarmhand,yi_ti_farmhand,10,0.0,FARMER,False,,,,ACTIVE_1_0
LHAZAR_FARMER,GOTEntityLhazarFarmhand,lhazar_farmhand,10,0.0,FARMER,False,,,,ACTIVE_1_0
GHISCAR_SLAVER,GOTEntityGhiscarSlave,ghiscar_slave,10,0.0,FARMER,False,,,,ACTIVE_1_0
LYS_SLAVER,GOTEntityLysSlave,lys_slave,10,0.0,FARMER,False,,,,ACTIVE_1_0
MYR_SLAVER,GOTEntityMyrSlave,myr_slave,10,0.0,FARMER,False,,,,ACTIVE_1_0
TYROSH_SLAVER,GOTEntityTyroshSlave,tyrosh_slave,10,0.0,FARMER,False,,,,ACTIVE_1_0
VOLANTIS_SLAVER,GOTEntityVolantisSlave,volantis_slave,10,0.0,FARMER,False,,,,ACTIVE_1_0
PROSTITUTE_KEEPER,GOTEntityProstitute,prostitute,10,0.0,PROSTITUTE,False,,,,MISSING_CURRENT_ROLE
