family_id,base_block,display_name,material,parts,base_texture,base_model,stairs_id,slab_id,wall_id,fence_id,fence_gate_id,door_id,trapdoor_id,beam_id,stairs_name,slab_name,wall_name,fence_name,fence_gate_name,door_name,trapdoor_name,beam_name,door_bottom_texture,door_top_texture,door_item_texture,trapdoor_texture,beam_side_texture,beam_end_texture
labradorite_brick,got:labradorite_bricks,Labradorite Brick,masonry,stairs;slab;wall,got:block/labradorite_bricks,got:block/labradorite_bricks,stairs_labradorite_brick,labradorite_brick_slab,labradorite_brick_wall,,,,,,Labradorite Brick Stairs,Labradorite Brick Slab,Labradorite Brick Wall,,,,,,,,,,,
cracked_labradorite_brick,got:cracked_labradorite_bricks,Cracked Labradorite Brick,masonry,stairs;slab;wall,got:block/cracked_labradorite_bricks,got:block/cracked_labradorite_bricks,stairs_labradorite_brick_cracked,cracked_labradorite_brick_slab,cracked_labradorite_brick_wall,,,,,,Cracked Labradorite Brick Stairs,Cracked Labradorite Brick Slab,Cracked Labradorite Brick Wall,,,,,,,,,,,
mossy_labradorite_brick,got:mossy_labradorite_bricks,Mossy Labradorite Brick,masonry,stairs;slab;wall,got:block/mossy_labradorite_bricks,got:block/mossy_labradorite_bricks,stairs_labradorite_brick_mossy,mossy_labradorite_brick_slab,mossy_labradorite_brick_wall,,,,,,Mossy Labradorite Brick Stairs,Mossy Labradorite Brick Slab,Mossy Labradorite Brick Wall,,,,,,,,,,,
marble_brick,got:chalk_bricks,Marble Brick,masonry,stairs;slab;wall,got:block/chalk_bricks,got:block/chalk_bricks,stairs_chalk_brick,marble_brick_slab,marble_brick_wall,,,,,,Marble Brick Stairs,Marble Brick Slab,Marble Brick Wall,,,,,,,,,,,
mud_brick,got:mud_bricks,Mud Brick,masonry,stairs;slab;wall,got:block/mud_bricks,got:block/mud_bricks,stairs_mud_brick,mud_brick_slab,mud_brick_wall,,,,,,Mud Brick Stairs,Mud Brick Slab,Mud Brick Wall,,,,,,,,,,,
rhyolite_brick,got:rhyolite_bricks,Rhyolite Brick,masonry,stairs;slab;wall,got:block/rhyolite_bricks,got:block/rhyolite_bricks,stairs_rhyolite_brick,rhyolite_brick_slab,rhyolite_brick_wall,,,,,,Rhyolite Brick Stairs,Rhyolite Brick Slab,Rhyolite Brick Wall,,,,,,,,,,,
sandstone_brick,got:sandstone_bricks,Sandstone Brick,masonry,stairs;slab;wall,got:block/sandstone_bricks,got:block/sandstone_bricks,stairs_sandstone_brick,sandstone_brick_slab,sandstone_brick_wall,,,,,,Sandstone Brick Stairs,Sandstone Brick Slab,Sandstone Brick Wall,,,,,,,,,,,
cracked_sandstone_brick,got:cracked_sandstone_bricks,Cracked Sandstone Brick,masonry,stairs;slab;wall,got:block/cracked_sandstone_bricks,got:block/cracked_sandstone_bricks,stairs_sandstone_brick_cracked,cracked_sandstone_brick_slab,cracked_sandstone_brick_wall,,,,,,Cracked Sandstone Brick Stairs,Cracked Sandstone Brick Slab,Cracked Sandstone Brick Wall,,,,,,,,,,,
red_sandstone_brick,got:sandstone_red_bricks,Red Sandstone Brick,masonry,stairs;slab;wall,got:block/sandstone_red_bricks,got:block/sandstone_red_bricks,stairs_sandstone_brick_red,red_sandstone_brick_slab,red_sandstone_brick_wall,,,,,,Red Sandstone Brick Stairs,Red Sandstone Brick Slab,Red Sandstone Brick Wall,,,,,,,,,,,
cracked_red_sandstone_brick,got:cracked_sandstone_red_bricks,Cracked Red Sandstone Brick,masonry,stairs;slab;wall,got:block/cracked_sandstone_red_bricks,got:block/cracked_sandstone_red_bricks,stairs_sandstone_brick_red_cracked,cracked_red_sandstone_brick_slab,cracked_red_sandstone_brick_wall,,,,,,Cracked Red Sandstone Brick Stairs,Cracked Red Sandstone Brick Slab,Cracked Red Sandstone Brick Wall,,,,,,,,,,,
sothoryos_brick,got:sothoryos_bricks,Sothoryos Brick,masonry,stairs;slab;wall,got:block/sothoryos_bricks,got:block/sothoryos_bricks,stairs_sothoryos_brick,sothoryos_brick_slab,sothoryos_brick_wall,,,,,,Sothoryos Brick Stairs,Sothoryos Brick Slab,Sothoryos Brick Wall,,,,,,,,,,,
cracked_sothoryos_brick,got:cracked_sothoryos_bricks,Cracked Sothoryos Brick,masonry,stairs;slab;wall,got:block/cracked_sothoryos_bricks,got:block/cracked_sothoryos_bricks,stairs_sothoryos_brick_cracked,cracked_sothoryos_brick_slab,cracked_sothoryos_brick_wall,,,,,,Cracked Sothoryos Brick Stairs,Cracked Sothoryos Brick Slab,Cracked Sothoryos Brick Wall,,,,,,,,,,,
sothoryos_gold_brick,got:sothoryos_gold_bricks,Golden Sothoryos Brick,masonry,stairs;slab;wall,got:block/sothoryos_gold_bricks,got:block/sothoryos_gold_bricks,stairs_sothoryos_brick_gold,sothoryos_gold_brick_slab,sothoryos_gold_brick_wall,,,,,,Golden Sothoryos Brick Stairs,Golden Sothoryos Brick Slab,Golden Sothoryos Brick Wall,,,,,,,,,,,
mossy_sothoryos_brick,got:mossy_sothoryos_bricks,Mossy Sothoryos Brick,masonry,stairs;slab;wall,got:block/mossy_sothoryos_bricks,got:block/mossy_sothoryos_bricks,stairs_sothoryos_brick_mossy,mossy_sothoryos_brick_slab,mossy_sothoryos_brick_wall,,,,,,Mossy Sothoryos Brick Stairs,Mossy Sothoryos Brick Slab,Mossy Sothoryos Brick Wall,,,,,,,,,,,
sothoryos_obsidian_brick,got:sothoryos_obsidian_bricks,Obsidian Sothoryos Brick,masonry,stairs;slab;wall,got:block/sothoryos_obsidian_bricks,got:block/sothoryos_obsidian_bricks,stairs_sothoryos_brick_obsidian,sothoryos_obsidian_brick_slab,sothoryos_obsidian_brick_wall,,,,,,Obsidian Sothoryos Brick Stairs,Obsidian Sothoryos Brick Slab,Obsidian Sothoryos Brick Wall,,,,,,,,,,,
yi_ti_brick,got:yi_ti_bricks,Yi Ti Brick,masonry,stairs;slab;wall,got:block/yi_ti_bricks,got:block/yi_ti_bricks,stairs_yi_ti_brick,yi_ti_brick_slab,yi_ti_brick_wall,,,,,,Yi Ti Brick Stairs,Yi Ti Brick Slab,Yi Ti Brick Wall,,,,,,,,,,,
cracked_yi_ti_brick,got:cracked_yi_ti_bricks,Cracked Yi Ti Brick,masonry,stairs;slab;wall,got:block/cracked_yi_ti_bricks,got:block/cracked_yi_ti_bricks,stairs_yi_ti_brick_cracked,cracked_yi_ti_brick_slab,cracked_yi_ti_brick_wall,,,,,,Cracked Yi Ti Brick Stairs,Cracked Yi Ti Brick Slab,Cracked Yi Ti Brick Wall,,,,,,,,,,,
flowery_yi_ti_brick,got:yi_ti_flowers_bricks,Flowery Yi Ti Brick,masonry,stairs;slab;wall,got:block/yi_ti_flowers_bricks,got:block/yi_ti_flowers_bricks,stairs_yi_ti_brick_flowers,flowery_yi_ti_brick_slab,flowery_yi_ti_brick_wall,,,,,,Flowery Yi Ti Brick Stairs,Flowery Yi Ti Brick Slab,Flowery Yi Ti Brick Wall,,,,,,,,,,,
mossy_yi_ti_brick,got:mossy_yi_ti_bricks,Mossy Yi Ti Brick,masonry,stairs;slab;wall,got:block/mossy_yi_ti_bricks,got:block/mossy_yi_ti_bricks,stairs_yi_ti_brick_mossy,mossy_yi_ti_brick_slab,mossy_yi_ti_brick_wall,,,,,,Mossy Yi Ti Brick Stairs,Mossy Yi Ti Brick Slab,Mossy Yi Ti Brick Wall,,,,,,,,,,,
granite_yi_ti_brick,got:yi_ti_granite_bricks,Granite Yi Ti Brick,masonry,stairs;slab;wall,got:block/yi_ti_granite_bricks,got:block/yi_ti_granite_bricks,stairs_yi_ti_brick_red,granite_yi_ti_brick_slab,granite_yi_ti_brick_wall,,,,,,Granite Yi Ti Brick Stairs,Granite Yi Ti Brick Slab,Granite Yi Ti Brick Wall,,,,,,,,,,,
cracked_brick,got:cracked_red_bricks,Cracked Brick,masonry,stairs;slab;wall,got:block/cracked_red_bricks,got:block/cracked_red_bricks,stairs_brick_cracked,cracked_brick_slab,cracked_brick_wall,,,,,,Cracked Brick Stairs,Cracked Brick Slab,Cracked Brick Wall,,,,,,,,,,,
mossy_brick,got:mossy_red_bricks,Mossy Brick,masonry,stairs;slab;wall,got:block/mossy_red_bricks,got:block/mossy_red_bricks,stairs_brick_mossy,mossy_brick_slab,mossy_brick_wall,,,,,,Mossy Brick Stairs,Mossy Brick Slab,Mossy Brick Wall,,,,,,,,,,,
cracked_stone_brick,minecraft:cracked_stone_bricks,Cracked Stone Brick,masonry,stairs;slab;wall,minecraft:block/cracked_stone_bricks,minecraft:block/cracked_stone_bricks,stairs_stone_brick_cracked,cracked_stone_brick_slab,cracked_stone_brick_wall,,,,,,Cracked Stone Brick Stairs,Cracked Stone Brick Slab,Cracked Stone Brick Wall,,,,,,,,,,,
raw_basalt,got:basalt,Basalt,masonry,stairs;slab;wall,got:block/rock_basalt_side,got:block/basalt,stairs_basalt,basalt_slab,basalt_wall,,,,,,Basalt Stairs,Basalt Slab,Basalt Wall,,,,,,,,,,,
raw_andesite,minecraft:andesite,Andesite,masonry,stairs;slab;wall,minecraft:block/andesite,minecraft:block/andesite,stairs_andesite,andesite_slab,andesite_wall,,,,,,Andesite Stairs,Andesite Slab,Andesite Wall,,,,,,,,,,,
raw_rhyolite,got:rhyolite,Rhyolite,masonry,stairs;slab;wall,got:block/rock_rhyolite,got:block/rhyolite,stairs_rhyolite,rhyolite_slab,rhyolite_wall,,,,,,Rhyolite Stairs,Rhyolite Slab,Rhyolite Wall,,,,,,,,,,,
raw_diorite,minecraft:diorite,Diorite,masonry,stairs;slab;wall,minecraft:block/diorite,minecraft:block/diorite,stairs_diorite,diorite_slab,diorite_wall,,,,,,Diorite Stairs,Diorite Slab,Diorite Wall,,,,,,,,,,,
raw_granite,minecraft:granite,Granite,masonry,stairs;slab;wall,minecraft:block/granite,minecraft:block/granite,stairs_granite,granite_slab,granite_wall,,,,,,Granite Stairs,Granite Slab,Granite Wall,,,,,,,,,,,
raw_marble,got:marble,Marble,masonry,stairs;slab;wall,got:block/rock_chalk,got:block/marble,stairs_chalk,marble_slab,marble_wall,,,,,,Marble Stairs,Marble Slab,Marble Wall,,,,,,,,,,,
raw_labradorite,got:labradorite,Labradorite,masonry,stairs;slab;wall,got:block/rock_labradorite,got:block/labradorite,stairs_labradorite,labradorite_slab,labradorite_wall,,,,,,Labradorite Stairs,Labradorite Slab,Labradorite Wall,,,,,,,,,,,
bone,got:bone_block,Bone,masonry,stairs;slab;wall,got:block/bone_block,got:block/bone_block,stairs_bone,bone_slab,bone_wall,,,,,,Bone Stairs,Bone Slab,Bone Wall,,,,,,,,,,,
scorched_stone,got:scorched_stone,Scorched Stone,masonry,stairs;slab;wall,got:block/scorched_stone,got:block/scorched_stone,stairs_scorched_stone,scorched_stone_slab,scorched_wall,,,,,,Scorched Stone Stairs,Scorched Stone Slab,Scorched Stone Wall,,,,,,,,,,,
white_sandstone,got:white_sandstone,White Sandstone,masonry,stairs;slab;wall,got:block/white_sandstone,got:block/white_sandstone,stairs_white_sandstone,white_sandstone_slab,white_sandstone_wall,,,,,,White Sandstone Stairs,White Sandstone Slab,White Sandstone Wall,,,,,,,,,,,
clay_tile,got:terracotta_roof_tiles,Clay Tiling,masonry,stairs;slab;wall,got:block/terracotta_roof_tiles,got:block/terracotta_roof_tiles,stairs_clay_tile,clay_tile_slab,clay_tile_wall,,,,,,Clay Tiling Stairs,Clay Tiling Slab,Clay Tiling Wall,,,,,,,,,,,
white_clay_tile,got:white_terracotta_roof_tiles,White Clay Tiling,masonry,stairs;slab;wall,got:block/white_terracotta_roof_tiles,got:block/white_terracotta_roof_tiles,stairs_clay_tile_dyed_white,white_clay_tile_slab,white_clay_tile_wall,,,,,,White Clay Tiling Stairs,White Clay Tiling Slab,White Clay Tiling Wall,,,,,,,,,,,
orange_clay_tile,got:orange_terracotta_roof_tiles,Orange Clay Tiling,masonry,stairs;slab;wall,got:block/orange_terracotta_roof_tiles,got:block/orange_terracotta_roof_tiles,stairs_clay_tile_dyed_orange,orange_clay_tile_slab,orange_clay_tile_wall,,,,,,Orange Clay Tiling Stairs,Orange Clay Tiling Slab,Orange Clay Tiling Wall,,,,,,,,,,,
magenta_clay_tile,got:magenta_terracotta_roof_tiles,Magenta Clay Tiling,masonry,stairs;slab;wall,got:block/magenta_terracotta_roof_tiles,got:block/magenta_terracotta_roof_tiles,stairs_clay_tile_dyed_magenta,magenta_clay_tile_slab,magenta_clay_tile_wall,,,,,,Magenta Clay Tiling Stairs,Magenta Clay Tiling Slab,Magenta Clay Tiling Wall,,,,,,,,,,,
light_blue_clay_tile,got:light_blue_terracotta_roof_tiles,Light Blue Clay Tiling,masonry,stairs;slab;wall,got:block/light_blue_terracotta_roof_tiles,got:block/light_blue_terracotta_roof_tiles,stairs_clay_tile_dyed_light_blue,light_blue_clay_tile_slab,light_blue_clay_tile_wall,,,,,,Light Blue Clay Tiling Stairs,Light Blue Clay Tiling Slab,Light Blue Clay Tiling Wall,,,,,,,,,,,
yellow_clay_tile,got:yellow_terracotta_roof_tiles,Yellow Clay Tiling,masonry,stairs;slab;wall,got:block/yellow_terracotta_roof_tiles,got:block/yellow_terracotta_roof_tiles,stairs_clay_tile_dyed_yellow,yellow_clay_tile_slab,yellow_clay_tile_wall,,,,,,Yellow Clay Tiling Stairs,Yellow Clay Tiling Slab,Yellow Clay Tiling Wall,,,,,,,,,,,
lime_clay_tile,got:lime_terracotta_roof_tiles,Lime Clay Tiling,masonry,stairs;slab;wall,got:block/lime_terracotta_roof_tiles,got:block/lime_terracotta_roof_tiles,stairs_clay_tile_dyed_lime,lime_clay_tile_slab,lime_clay_tile_wall,,,,,,Lime Clay Tiling Stairs,Lime Clay Tiling Slab,Lime Clay Tiling Wall,,,,,,,,,,,
pink_clay_tile,got:pink_terracotta_roof_tiles,Pink Clay Tiling,masonry,stairs;slab;wall,got:block/pink_terracotta_roof_tiles,got:block/pink_terracotta_roof_tiles,stairs_clay_tile_dyed_pink,pink_clay_tile_slab,pink_clay_tile_wall,,,,,,Pink Clay Tiling Stairs,Pink Clay Tiling Slab,Pink Clay Tiling Wall,,,,,,,,,,,
gray_clay_tile,got:gray_terracotta_roof_tiles,Gray Clay Tiling,masonry,stairs;slab;wall,got:block/gray_terracotta_roof_tiles,got:block/gray_terracotta_roof_tiles,stairs_clay_tile_dyed_gray,gray_clay_tile_slab,gray_clay_tile_wall,,,,,,Gray Clay Tiling Stairs,Gray Clay Tiling Slab,Gray Clay Tiling Wall,,,,,,,,,,,
light_gray_clay_tile,got:silver_terracotta_roof_tiles,Light Gray Clay Tiling,masonry,stairs;slab;wall,got:block/silver_terracotta_roof_tiles,got:block/silver_terracotta_roof_tiles,stairs_clay_tile_dyed_light_gray,light_gray_clay_tile_slab,light_gray_clay_tile_wall,,,,,,Light Gray Clay Tiling Stairs,Light Gray Clay Tiling Slab,Light Gray Clay Tiling Wall,,,,,,,,,,,
cyan_clay_tile,got:cyan_terracotta_roof_tiles,Cyan Clay Tiling,masonry,stairs;slab;wall,got:block/cyan_terracotta_roof_tiles,got:block/cyan_terracotta_roof_tiles,stairs_clay_tile_dyed_cyan,cyan_clay_tile_slab,cyan_clay_tile_wall,,,,,,Cyan Clay Tiling Stairs,Cyan Clay Tiling Slab,Cyan Clay Tiling Wall,,,,,,,,,,,
purple_clay_tile,got:purple_terracotta_roof_tiles,Purple Clay Tiling,masonry,stairs;slab;wall,got:block/purple_terracotta_roof_tiles,got:block/purple_terracotta_roof_tiles,stairs_clay_tile_dyed_purple,purple_clay_tile_slab,purple_clay_tile_wall,,,,,,Purple Clay Tiling Stairs,Purple Clay Tiling Slab,Purple Clay Tiling Wall,,,,,,,,,,,
blue_clay_tile,got:blue_terracotta_roof_tiles,Blue Clay Tiling,masonry,stairs;slab;wall,got:block/blue_terracotta_roof_tiles,got:block/blue_terracotta_roof_tiles,stairs_clay_tile_dyed_blue,blue_clay_tile_slab,blue_clay_tile_wall,,,,,,Blue Clay Tiling Stairs,Blue Clay Tiling Slab,Blue Clay Tiling Wall,,,,,,,,,,,
brown_clay_tile,got:brown_terracotta_roof_tiles,Brown Clay Tiling,masonry,stairs;slab;wall,got:block/brown_terracotta_roof_tiles,got:block/brown_terracotta_roof_tiles,stairs_clay_tile_dyed_brown,brown_clay_tile_slab,brown_clay_tile_wall,,,,,,Brown Clay Tiling Stairs,Brown Clay Tiling Slab,Brown Clay Tiling Wall,,,,,,,,,,,
green_clay_tile,got:green_terracotta_roof_tiles,Green Clay Tiling,masonry,stairs;slab;wall,got:block/green_terracotta_roof_tiles,got:block/green_terracotta_roof_tiles,stairs_clay_tile_dyed_green,green_clay_tile_slab,green_clay_tile_wall,,,,,,Green Clay Tiling Stairs,Green Clay Tiling Slab,Green Clay Tiling Wall,,,,,,,,,,,
red_clay_tile,got:red_terracotta_roof_tiles,Red Clay Tiling,masonry,stairs;slab;wall,got:block/red_terracotta_roof_tiles,got:block/red_terracotta_roof_tiles,stairs_clay_tile_dyed_red,red_clay_tile_slab,red_clay_tile_wall,,,,,,Red Clay Tiling Stairs,Red Clay Tiling Slab,Red Clay Tiling Wall,,,,,,,,,,,
black_clay_tile,got:black_terracotta_roof_tiles,Black Clay Tiling,masonry,stairs;slab;wall,got:block/black_terracotta_roof_tiles,got:block/black_terracotta_roof_tiles,stairs_clay_tile_dyed_black,black_clay_tile_slab,black_clay_tile_wall,,,,,,Black Clay Tiling Stairs,Black Clay Tiling Slab,Black Clay Tiling Wall,,,,,,,,,,,
thatch,got:thatch_thatch,Thatch,thatch,stairs;slab,got:block/thatch_thatch,got:block/thatch_thatch,stairs_thatch,thatch_slab,,,,,,,Thatch Stairs,Thatch Slab,,,,,,,,,,,,
reed,got:thatch_reed,Reed,thatch,stairs;slab,got:block/thatch_reed,got:block/thatch_reed,stairs_reed,reed_slab,,,,,,,Reed Stairs,Reed Slab,,,,,,,,,,,,
smooth_basalt,got:smooth_basalt,Smooth Basalt,masonry,slab,got:block/smooth_stone_basalt_side,got:block/smooth_basalt,,smooth_basalt_slab,,,,,,,,Smooth Basalt Slab,,,,,,,,,,,,
smooth_andesite,got:smooth_andesite,Smooth Andesite,masonry,slab,got:block/smooth_stone_andesite_side,got:block/smooth_andesite,,smooth_andesite_slab,,,,,,,,Smooth Andesite Slab,,,,,,,,,,,,
smooth_rhyolite,got:smooth_rhyolite,Smooth Rhyolite,masonry,slab,got:block/smooth_stone_rhyolite_side,got:block/smooth_rhyolite,,smooth_rhyolite_slab,,,,,,,,Smooth Rhyolite Slab,,,,,,,,,,,,
smooth_diorite,got:smooth_diorite,Smooth Diorite,masonry,slab,got:block/smooth_stone_diorite_side,got:block/smooth_diorite,,smooth_diorite_slab,,,,,,,,Smooth Diorite Slab,,,,,,,,,,,,
smooth_granite,got:smooth_granite,Smooth Granite,masonry,slab,got:block/smooth_stone_granite_side,got:block/smooth_granite,,smooth_granite_slab,,,,,,,,Smooth Granite Slab,,,,,,,,,,,,
smooth_marble,got:smooth_marble,Smooth Marble,masonry,slab,got:block/smooth_stone_chalk_side,got:block/smooth_marble,,smooth_marble_slab,,,,,,,,Smooth Marble Slab,,,,,,,,,,,,
smooth_labradorite,got:smooth_labradorite,Smooth Labradorite,masonry,slab,got:block/smooth_stone_labradorite_side,got:block/smooth_labradorite,,smooth_labradorite_slab,,,,,,,,Smooth Labradorite Slab,,,,,,,,,,,,
diorite_pillar,got:diorite_pillar,Diorite Pillar,masonry,slab,got:block/pillar1_diorite_side,got:block/diorite_pillar,,diorite_pillar_slab,,,,,,,,Diorite Pillar Slab,,,,,,,,,,,,
granite_pillar,got:granite_pillar,Granite Pillar,masonry,slab,got:block/pillar1_granite_side,got:block/granite_pillar,,granite_pillar_slab,,,,,,,,Granite Pillar Slab,,,,,,,,,,,,
sandstone_pillar,got:sandstone_pillar,Sandstone Pillar,masonry,slab,got:block/pillar1_sandstone_side,got:block/sandstone_pillar,,sandstone_pillar_slab,,,,,,,,Sandstone Pillar Slab,,,,,,,,,,,,
andesite_pillar,got:andesite_pillar,Andesite Pillar,masonry,slab,got:block/pillar1_andesite_side,got:block/andesite_pillar,,andesite_pillar_slab,,,,,,,,Andesite Pillar Slab,,,,,,,,,,,,
asshai_basalt_pillar,got:asshai_basalt_pillar,Asshai Basalt Pillar,masonry,slab,got:block/pillar1_basalt_side,got:block/asshai_basalt_pillar,,asshai_basalt_pillar_slab,,,,,,,,Asshai Basalt Pillar Slab,,,,,,,,,,,,
rhyolite_pillar,got:rhyolite_pillar,Rhyolite Pillar,masonry,slab,got:block/pillar1_rhyolite_side,got:block/rhyolite_pillar,,rhyolite_pillar_slab,,,,,,,,Rhyolite Pillar Slab,,,,,,,,,,,,
basalt_pillar,got:basalt_pillar,Basalt Pillar,masonry,slab,got:block/pillar1_basalt_westeros_side,got:block/basalt_pillar,,basalt_pillar_slab,,,,,,,,Basalt Pillar Slab,,,,,,,,,,,,
sothoryos_pillar,got:sothoryos_pillar,Sothoryos Pillar,masonry,slab,got:block/pillar1_sothoryos_side,got:block/sothoryos_pillar,,sothoryos_pillar_slab,,,,,,,,Sothoryos Pillar Slab,,,,,,,,,,,,
red_sandstone_pillar,got:red_sandstone_pillar,Red Sandstone Pillar,masonry,slab,got:block/pillar1_sandstone_red_side,got:block/red_sandstone_pillar,,red_sandstone_pillar_slab,,,,,,,,Red Sandstone Pillar Slab,,,,,,,,,,,,
labradorite_pillar,got:labradorite_pillar,Labradorite Pillar,masonry,slab,got:block/pillar2_labradorite_side,got:block/labradorite_pillar,,labradorite_pillar_slab,,,,,,,,Labradorite Pillar Slab,,,,,,,,,,,,
marble_pillar,got:marble_pillar,Marble Pillar,masonry,slab,got:block/pillar2_chalk_side,got:block/marble_pillar,,marble_pillar_slab,,,,,,,,Marble Pillar Slab,,,,,,,,,,,,
stone_pillar,got:stone_pillar,Stone Pillar,masonry,slab,got:block/pillar2_stone_side,got:block/stone_pillar,,stone_pillar_slab,,,,,,,,Stone Pillar Slab,,,,,,,,,,,,
brick_pillar,got:brick_pillar,Brick Pillar,masonry,slab,got:block/pillar2_brick_side,got:block/brick_pillar,,brick_pillar_slab,,,,,,,,Brick Pillar Slab,,,,,,,,,,,,
yi_ti_pillar,got:yi_ti_pillar,Yi Ti Pillar,masonry,slab,got:block/pillar2_yi_ti_side,got:block/yi_ti_pillar,,yi_ti_pillar_slab,,,,,,,,Yi Ti Pillar Slab,,,,,,,,,,,,
yi_ti_granite_pillar,got:yi_ti_granite_pillar,Granite Yi Ti Pillar,masonry,slab,got:block/pillar2_yi_ti_red_side,got:block/yi_ti_granite_pillar,,yi_ti_granite_pillar_slab,,,,,,,,Granite Yi Ti Pillar Slab,,,,,,,,,,,,
sothoryos_gold_pillar,got:sothoryos_gold_pillar,Golden Sothoryos Pillar,masonry,slab,got:block/pillar2_sothoryos_gold_side,got:block/sothoryos_gold_pillar,,sothoryos_gold_pillar_slab,,,,,,,,Golden Sothoryos Pillar Slab,,,,,,,,,,,,
sothoryos_obsidian_pillar,got:sothoryos_obsidian_pillar,Obsidian Sothoryos Pillar,masonry,slab,got:block/pillar2_sothoryos_obsidian_side,got:block/sothoryos_obsidian_pillar,,sothoryos_obsidian_pillar_slab,,,,,,,,Obsidian Sothoryos Pillar Slab,,,,,,,,,,,,
dirt,minecraft:dirt,Dirt,earth,slab,minecraft:block/dirt,minecraft:block/dirt,,dirt_slab,,,,,,,,Dirt Slab,,,,,,,,,,,,
dirt_path,minecraft:dirt_path,Dirt Path,earth,slab,minecraft:block/dirt_path,minecraft:block/dirt_path,,dirt_path_slab,,,,,,,,Dirt Path Slab,,,,,,,,,,,,
jungle_mud,got:jungle_mud,Jungle Mud,earth,slab,got:block/mud,got:block/jungle_mud,,jungle_mud_slab,,,,,,,,Jungle Mud Slab,,,,,,,,,,,,
asshai_dirt,got:asshai_dirt,Asshai Dirt,earth,slab,got:block/asshai_dirt,got:block/asshai_dirt,,asshai_dirt_slab,,,,,,,,Asshai Dirt Slab,,,,,,,,,,,,
jungle_mud_path,got:jungle_mud_path,Jungle Mud Path,earth,slab,got:block/dirt_path_mud,got:block/jungle_mud_path,,jungle_mud_path_slab,,,,,,,,Jungle Mud Path Slab,,,,,,,,,,,,
bruschatka,got:bruschatka,Bruschatka,earth,slab,got:block/dirt_path_brus,got:block/bruschatka,,bruschatka_slab,,,,,,,,Bruschatka Slab,,,,,,,,,,,,
gravel,minecraft:gravel,Gravel,earth,slab,minecraft:block/gravel,minecraft:block/gravel,,gravel_slab,,,,,,,,Gravel Slab,,,,,,,,,,,,
asshai_gravel,got:basalt_gravel,Asshai Gravel,earth,slab,got:block/basalt_gravel,got:block/basalt_gravel,,asshai_gravel_slab,,,,,,,,Asshai Gravel Slab,,,,,,,,,,,,
obsidian_gravel,got:obsidian_gravel,Obsidian Gravel,earth,slab,got:block/obsidian_gravel,got:block/obsidian_gravel,,obsidian_gravel_slab,,,,,,,,Obsidian Gravel Slab,,,,,,,,,,,,
sand,minecraft:sand,Sand,earth,slab,minecraft:block/sand,minecraft:block/sand,,sand_slab,,,,,,,,Sand Slab,,,,,,,,,,,,
red_sand,minecraft:red_sand,Red Sand,earth,slab,minecraft:block/red_sand,minecraft:block/red_sand,,red_sand_slab,,,,,,,,Red Sand Slab,,,,,,,,,,,,
white_sand,got:white_sand,White Sand,earth,slab,got:block/white_sand,got:block/white_sand,,white_sand_slab,,,,,,,,White Sand Slab,,,,,,,,,,,,
stone,minecraft:stone,Stone,masonry,wall,minecraft:block/stone,minecraft:block/stone,,,stone_wall,,,,,,,,Stone Wall,,,,,,,,,,,
